AnnoNo	AnnoDate	AnnoTitle	AnnoContent	SiteId	County	IsSoil	IsGw
北市環水字第10535512100號	2016/8/25	公告大都會汽車客運股份有限公司所屬內湖油站所在土地「文德段五小段338-1地號（油站使用區域），共計1筆」為土壤污染控制場址，並劃定為土壤污染管制區（如附件）。		A00656	臺北市	0	0
屏府環水字第10532257301號	2016/7/15	公告本縣潮州鎮中山段885、886、887(部分)地號為土壤污染控制場址及土壤污染管制區。		T10164	屏東縣	1	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	彰化縣和美鎮大榮段0013-0000(部分)地號、嘉紹段1052-0000(部分)地號、鹿港鎮頂和段0409-0000(部分)地號、鹿犁段0659-0000地號、彰化市西勢子段西勢子小段0120-0006(部分)、0213-0000、0215-0000、0221-0005、0221-0006地號、南興段0517-0000地號、泰和段0240-0000(部分)地號、莿桐段1892-0000(部分)地號、線東段0052-0000(部分)、0280-0000、0337-0000、0500-0000地號及磚&#30936;段0533-0000、0539-0000(部分)、0922-0000地號	N12472	彰化縣	1	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	彰化縣和美鎮大榮段0013-0000(部分)地號、嘉紹段1052-0000(部分)地號、鹿港鎮頂和段0409-0000(部分)地號、鹿犁段0659-0000地號、彰化市西勢子段西勢子小段0120-0006(部分)、0213-0000、0215-0000、0221-0005、0221-0006地號、南興段0517-0000地號、泰和段0240-0000(部分)地號、莿桐段1892-0000(部分)地號、線東段0052-0000(部分)、0280-0000、0337-0000、0500-0000地號及磚&#30936;段0533-0000、0539-0000(部分)、0922-0000地號	N12464	彰化縣	1	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11123	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12477	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12476	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12475	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12474	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12473	彰化縣	0	0
