類別,盛產月份,名稱,品種名稱,主要生產-縣市別,主要生產-鄉鎮市別
蔬菜,1,青蔥,日蔥,宜蘭縣,壯圍鄉
蔬菜,1,洋蔥,早玉、勝早玉、德州505，606，806號等,彰化縣,伸港鄉
蔬菜,1,洋蔥,早玉、勝早玉、德州505，606，806號等,彰化縣,大城鄉
蔬菜,1,洋蔥,早玉、勝早玉、德州505，606，806號等,屏東縣,枋山鄉
蔬菜,1,洋蔥,早玉、勝早玉、德州505，606，806號等,屏東縣,恆春鎮
蔬菜,1,洋蔥,早玉、勝早玉、德州505，606，806號等,屏東縣,車城鄉
蔬菜,1,菇類,香菇,桃園縣,復興鄉
蔬菜,1,菇類,香菇,台中市,新社區
蔬菜,1,菇類,香菇,南投縣,埔里鎮
蔬菜,1,菇類,香菇,南投縣,水里鄉
蔬菜,1,菇類,香菇,南投縣,魚池鄉
蔬菜,1,菇類,香菇,南投縣,竹山鎮
蔬菜,1,菇類,香菇,花蓮縣,富里鄉
蔬菜,1,菇類,金針菇,台中市,霧峰區
蔬菜,1,菇類,金針菇,彰化縣,溪湖鎮
蔬菜,1,菇類,金針菇,南投縣,草屯鎮
蔬菜,1,菇類,杏鮑菇,台中市,新社區
蔬菜,1,菇類,杏鮑菇,台中市,霧峰區
蔬菜,1,菇類,杏鮑菇,彰化縣,埔心鄉
蔬菜,1,菇類,杏鮑菇,彰化縣,大村鄉
蔬菜,1,菇類,杏鮑菇,南投縣,埔里鎮
蔬菜,1,菇類,杏鮑菇,南投縣,魚池鄉
蔬菜,1,甘藍,初秋,彰化縣,溪湖鎮
蔬菜,1,甘藍,初秋,彰化縣,竹塘鄉
蔬菜,1,甘藍,初秋,彰化縣,大城鄉
蔬菜,1,甘藍,初秋,雲林縣,元長鄉
蔬菜,1,甘藍,初秋,雲林縣,土庫鎮
蔬菜,1,甘藍,初秋,雲林縣,褒忠鄉
蔬菜,1,甘藍,初秋,雲林縣,崙背鄉
蔬菜,1,甘藍,初秋,雲林縣,水林鄉
蔬菜,1,甘藍,初秋,雲林縣,四湖鄉
蔬菜,1,甘藍,初秋,嘉義縣,鹿草鄉
蔬菜,1,甘藍,初秋,嘉義縣,六腳鄉
蔬菜,1,甘藍,初秋,嘉義縣,新港鄉
蔬菜,1,甘藍,初秋,嘉義縣,義竹鄉
蔬菜,1,結球白菜,早春及28號,彰化縣,埔心鄉
蔬菜,1,結球白菜,早春及28號,彰化縣,溪湖鎮
蔬菜,1,結球白菜,早春及28號,彰化縣,埔鹽鄉
蔬菜,1,結球白菜,早春及28號,彰化縣,竹塘鄉
蔬菜,1,結球白菜,早春及28號,彰化縣,大城鄉
蔬菜,1,結球白菜,早春及28號,雲林縣,竹塘鄉
蔬菜,1,結球白菜,早春及28號,雲林縣,二崙鄉
蔬菜,1,結球白菜,早春及28號,雲林縣,水林鄉
蔬菜,1,結球白菜,早春及28號,雲林縣,四湖鄉
